generations,best_awt,avg_awt,pareto_size
138,2.3571812631129974,4.6689738625508,18
139,2.3571812631129974,4.676120166928006,18
140,2.3571812631129974,4.700664870477308,18
141,2.3571812631129974,4.700664870477308,18
142,2.3571812631129974,4.640387352846031,18
143,2.3571812631129974,4.640387352846031,18
144,2.3571812631129974,4.6332931274049,18
145,2.3571812631129974,4.690495727462347,18
146,2.3571812631129974,4.690495727462347,18
147,2.3571812631129974,4.687416551700223,18
148,2.3571812631129974,4.68305098672241,18
149,2.3571812631129974,4.68305098672241,18
150,2.3571812631129974,4.681477080930661,18
151,2.3571812631129974,4.693996616631093,18
152,2.3571812631129974,4.689765418255138,18
153,2.3571812631129974,4.679573967929374,18
154,2.3571812631129974,4.684284636392148,18
155,2.3571812631129974,4.640220221263612,18
156,2.3571812631129974,4.640220221263613,18
157,2.3571812631129974,4.640220221263613,18
158,2.3571812631129974,4.640220221263613,18
159,2.3571812631129974,4.640220221263613,18
160,2.3571812631129974,4.640220221263613,18
161,2.3571812631129974,4.646135769232284,18
162,2.3571812631129974,4.646135769232285,18
163,2.3571812631129974,4.646135769232285,18
164,2.3571812631129974,4.646135769232285,18
165,2.3571812631129974,4.646135769232285,18
166,2.3571812631129974,4.645551220029961,18
167,2.3571812631129974,4.645551220029961,18
168,2.3571812631129974,4.644651889027005,18
169,2.3571812631129974,4.645045774186408,18
170,2.3571812631129974,4.642706160397709,18
171,2.3571812631129974,4.642706160397709,18
172,2.3571812631129974,4.692811963445819,18
173,2.3571812631129974,4.692811963445819,18
174,2.3571812631129974,4.692811963445819,18
175,2.3571812631129974,4.692811963445819,18
176,2.3571812631129974,4.627590814383652,18
177,2.3571812631129974,4.627377773949218,18
178,2.3571812631129974,4.631257145712111,18
179,2.3571812631129974,4.631257145712111,18
180,2.3571812631129974,4.622232378615469,18
181,2.3571812631129974,4.62223237861547,18
182,2.3571812631129974,4.645053489296589,18
183,2.3571812631129974,4.64064305239597,18
184,2.3571812631129974,4.66361951293939,18
185,2.3571812631129974,4.652431855386083,18
186,2.3571812631129974,4.652431855386083,18
187,2.3571812631129974,4.652431855386083,18
188,2.3571812631129974,4.652431855386083,18
189,2.3571812631129974,4.652431855386083,18
190,2.3571812631129974,4.652431855386083,18
191,2.3571812631129974,4.652253650607462,18
192,2.3571812631129974,4.609662998617195,19
193,2.3571812631129974,4.609282180450711,19
194,2.3571812631129974,4.609282180450711,19
195,2.3571812631129974,4.6091070855910745,19
196,2.3571812631129974,4.6091070855910745,19
197,2.3571812631129974,4.602479733196528,19
198,2.3571812631129974,4.605404382013451,19
199,2.3571812631129974,4.59832636299979,19
